
-----------------------------------------
| rollout/                |             |
|    iterations           | 3077        |
|    time_elapsed         | 58142       |
|    total_timesteps      | 75620352    |
| train/                  |             |
|    approx_kl            | 0.024303587 |
|    clip_fraction        | 0.0769      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.376      |
|    explained_variance   | 0.866       |
|    learning_rate        | 2.96e-05    |
|    loss                 | 0.257       |
|    n_updates            | 30760       |
|    policy_gradient_loss | -0.0203     |
|    value_loss           | 1.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 212         |
|    ep_rew_mean          | 29.4        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3078        |
|    time_elapsed         | 58161       |
|    total_timesteps      | 75644928    |
| train/                  |             |
|    approx_kl            | 0.024011897 |
|    clip_fraction        | 0.0758      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.386      |
|    explained_variance   | 0.855       |
|    learning_rate        | 2.95e-05    |
|    loss                 | 0.23        |
|    n_updates            | 30770       |
|    policy_gradient_loss | -0.0206     |
|    value_loss           | 1.43        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 213        |
|    ep_rew_mean          | 30.7       |
| time/                   |            |
|    fps                  | 1300       |
|    iterations           | 3079       |
|    time_elapsed         | 58181      |
|    total_timesteps      | 75669504   |
| train/                  |            |
|    approx_kl            | 0.02489537 |
|    clip_fraction        | 0.0785     |
|    clip_range           | 0.25       |
|    entropy_loss         | -0.386     |
|    explained_variance   | 0.861      |
|    learning_rate        | 2.95e-05   |
|    loss                 | 0.258      |
|    n_updates            | 30780      |
|    policy_gradient_loss | -0.0201    |
|    value_loss           | 1.38       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 205         |
|    ep_rew_mean          | 28.9        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3080        |
|    time_elapsed         | 58200       |
|    total_timesteps      | 75694080    |
| train/                  |             |
|    approx_kl            | 0.025480531 |
|    clip_fraction        | 0.0792      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.374      |
|    explained_variance   | 0.856       |
|    learning_rate        | 2.95e-05    |
|    loss                 | 0.25        |
|    n_updates            | 30790       |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 220         |
|    ep_rew_mean          | 30.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3081        |
|    time_elapsed         | 58219       |
|    total_timesteps      | 75718656    |
| train/                  |             |
|    approx_kl            | 0.025056938 |
|    clip_fraction        | 0.0789      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.399      |
|    explained_variance   | 0.865       |
|    learning_rate        | 2.94e-05    |
|    loss                 | 0.225       |
|    n_updates            | 30800       |
|    policy_gradient_loss | -0.0214     |
|    value_loss           | 1.31        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 212         |
|    ep_rew_mean          | 29.1        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3082        |
|    time_elapsed         | 58239       |
|    total_timesteps      | 75743232    |
| train/                  |             |
|    approx_kl            | 0.022537947 |
|    clip_fraction        | 0.0778      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.369      |
|    explained_variance   | 0.86        |
|    learning_rate        | 2.94e-05    |
|    loss                 | 0.226       |
|    n_updates            | 30810       |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | 29.3        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3083        |
|    time_elapsed         | 58258       |
|    total_timesteps      | 75767808    |
| train/                  |             |
|    approx_kl            | 0.023330329 |
|    clip_fraction        | 0.0798      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.377      |
|    explained_variance   | 0.853       |
|    learning_rate        | 2.94e-05    |
|    loss                 | 0.237       |
|    n_updates            | 30820       |
|    policy_gradient_loss | -0.0206     |
|    value_loss           | 1.37        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 218       |
|    ep_rew_mean          | 30.6      |
| time/                   |           |
|    fps                  | 1300      |
|    iterations           | 3084      |
|    time_elapsed         | 58277     |
|    total_timesteps      | 75792384  |
| train/                  |           |
|    approx_kl            | 0.0246068 |
|    clip_fraction        | 0.0811    |
|    clip_range           | 0.25      |
|    entropy_loss         | -0.382    |
|    explained_variance   | 0.864     |
|    learning_rate        | 2.93e-05  |
|    loss                 | 0.238     |
|    n_updates            | 30830     |
|    policy_gradient_loss | -0.0211   |
|    value_loss           | 1.38      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 218         |
|    ep_rew_mean          | 29.5        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3085        |
